Organization Name,Organization Name URL,Industries,City,State,Country,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founders,Number of Founders,Number of Employees,Number of Exits,Number of Lead Investments,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status,Delisted Date,Delisted Date Precision,Number of Investors,Number of Lead Investors,Number of Investments,Operating Status,Full Description,Hub Tags,Number of Articles,Investor Type,Investment Stage,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Number of Alumni,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Transaction Name,Transaction Name URL,IPO Status,SimilarWeb - Monthly Visits,SimilarWeb - Bounce Rate,SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Bounce Rate Growth,Stock Symbol,Stock Symbol URL,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),IPO Date,Top 5 Investors,Number of Founders (Alumni),School Method,Number of Enrollments,School Program,School Type,Number of Portfolio Organizations,Number of Exits (IPO),Description,Company Type,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Siftery - Total Products Active,Number of Events,Twitter,Website,Facebook,LinkedIn,Contact Email,Headquarters Regions,FS_COUNTRY_CODE,FactSet_ID,FS_NAME,CB_IPO_DATE,CB_IPO_DATE_+6M ,FS_IPO_DATE,IPO_DATE_TRUE,IPO_DATE_TRUE+6M,FS_Historical_Ticker,IPO_RETURN_TRUE_DATE,IPO_CLASS,LIFETIME_RETURN,LIFETURN_CLASS
Pelatro,https://www.crunchbase.com/organization/pelatro,"Marketing, Software, Telecommunications",Montvale,New Jersey,United States,,2013-04-01,month,2017-12-27,day,,,,,,,"subash Menon, Sudeesh Yezhuvath",2,11-50,,,IPO,,,,,,,,,,,,,,,Active,"Pelatro Plc (""Pelatro"") provides proprietary software solutions to enterprise-level customers for various aspects of precision marketing for use in Business to Consumer applications, currently with a focus on providing software to telecommunication companies (""Telcos""). Pelatro's precision marketing solution, mViva, uses Big Data analytics to study Telcos' customer behaviour and customise promotions to customers.",,1,,,,,,,,,,,,,,,,,,,,,,,Public,"3,460",64.58%,1.05%,83,"1,094.13%",-19.62%,PTRO,https://www.crunchbase.com/ipo/pelatro-ipo--3979f1c6,LSE - London Stock Exchange,15200000.0,GBP,20373013.0,3800000.0,GBP,5093253.0,2017-12-27,,,,,,,,,Pelatro provides proprietary software solutions to enterprise-level customers for various aspects of precision marketing.,For Profit,,,,,,1.0,https://twitter.com/pelatro,http://www.pelatro.com/,https://www.facebook.com/pelatro/,https://www.linkedin.com/company-beta/5306841/?pathWildcard=5306841,info@pelatro.com,"Greater New York Area, East Coast, Northeastern US",GB,PTRO-GB,Pelatro Plc,2017-12-29,2018-06-25,2017-12-19,2017-12-29,2018-06-27,PTRO-LON,0.30534363,1.0,-0.351145,0.0
Peloton,https://www.crunchbase.com/organization/peloton-interactive,"Content, Customer Service, Cycling, Fitness, Hardware, Online Portals, Technical Support, Video Streaming",New York,New York,United States,$500M to $1B,2012-01-01,year,2019-09-25,day,,,994707000.0,USD,994707000.0,8.0,"Graham Stanton, John Foley, Tom Cortese, Yony Feng",4,251-500,,,IPO,550000000.0,USD,550000000.0,Series F,994400000.0,USD,994400000.0,2.0,Made Acquisitions,,,18.0,7.0,1.0,Active,"Peloton is revolutionizing the fitness industry by merging high-design with modern technology to provide access to live and on-demand fitness group classes led by elite NYC instructors. With instant access to classes, performance tracking metrics and a motivating real-time leaderboard, Peloton is changing the way people get fit through a comprehensive and socially connected-experience that makes every workout both efficient and addicting. By merging hardware, software, and content, Peloton creates the most unique, efficient and addicting workout experience on the market. Peloton is sold online and in their growing number of showrooms across the country.",Unicorn,379,,,,,,,Series F,550000000.0,USD,550000000.0,2018-08-02,,,,,,,,,,,,Public,"3,893,196",61.38%,19.76%,123,-1.96%,1.39%,PTON,https://www.crunchbase.com/ipo/peloton-interactive-ipo--0f06804c,NASDAQ,8100000000.0,USD,8100000000.0,1160000000.0,USD,1160000000.0,2019-09-25,"Tiger Global Management, True Ventures, Felix Capital, Bullish, NBCUniversal",,,,,,1.0,,"Peloton uses technology and design to connect the world through fitness, empowering people to be the best version of themselves.",For Profit,8,23,Sports; Games; Amusements,Games; toys; sports equipment,67.0,8.0,https://twitter.com/onepeloton,http://www.onepeloton.com,http://www.facebook.com/OnePeloton,http://www.linkedin.com/company/2658876,press@onepeloton.com,"Greater New York Area, East Coast, Northeastern US",US,PTON-US,"Peloton Interactive, Inc. Class A",2019-09-27,2020-03-23,2019-09-26,2019-09-27,2020-03-25,PTON-NAS,-0.010301112999999999,0.0,-0.010301112999999999,0.0
PennantPark Investment Corp,https://www.crunchbase.com/organization/pennantpark-investment-corp,"Finance, Financial Services",New York,New York,United States,,2007-01-11,day,2007-04-27,day,,,,,,,Art Penn,1,11-50,,,IPO,,,,,,,,,,,,,,,Active,"PennantPark Investment Corporation is a publicly listed business development firm specializing in direct and mezzanine investments in middle market companies. It invests in the form of mezzanine debt, senior secured loans, and equity investments. The firm invests in equity securities and debt transactions through preferred stock, common stock, warrants, options, subordinated loans, mezzanine loans, and senior secured loans. It seeks to invest in companies based in the United States. The firm seeks to invest between $10 million and $50 million in its portfolio companies. Its mezzanine loans, senior secured loans, and other investments in its portfolio companies are between $15 million and $50 million. The firm may also make non-control equity and debt investments. PennantPark Investment Corporation was founded on January 11, 2007 and is based in New York, New York.",,2,,,,,,,,,,,,,,,,,,,,,,,Public,"1,285",35.2%,-41.74%,86,-69.58%,-0.79%,PNNT,https://www.crunchbase.com/ipo/pennantpark-investment-corp-ipo--3abdee1b,NASDAQ,,,,,,,2007-04-27,,,,,,,,,Leader in providing middle-market companies with creative and flexible capital solutions.,,,,,,12.0,,,http://www.pennantpark.com/,,,,"Greater New York Area, East Coast, Northeastern US",US,PNNT-US,PennantPark Investment Corporation,2007-04-29,2007-10-24,2007-04-19,2007-04-29,2007-10-26,PNNT-NAS,-0.058350030000000004,0.0,0.21730412000000002,1.0
Penumbra,https://www.crunchbase.com/organization/penumbra,"Biotechnology, Developer Platform, Medical Device",Alameda,California,United States,$100M to $500M,2004-01-01,year,2015-09-18,day,,,121230.0,USD,121230.0,1.0,"Adam Elsesser, Arani Bose",2,5001-10000,,,IPO,121230.0,USD,121230.0,Seed,121230.0,USD,121230.0,1.0,Made Acquisitions,,,,,,Active,"Penumbra, Inc. develops clinically beneficial products that help patients suffering from stroke and other neurovascular diseases. It offers Penumbra System, an ischemic stroke device platform; Penumbra Coil 400 that allows rapid packing of aneurysms; 5MAX ACE, a clot extraction device for engaging and removing blood clots causing an acute ischemic stroke; and Neuron System, a family of access catheters to enable therapies to be delivered to blood vessels high up in the brain. The company sells its products in North and South America, Europe, Australia, and Asia. Penumbra, Inc. was founded in 2004 and is headquartered in Alameda, California.",,14,,,,,,,Seed,121230.0,USD,121230.0,2012-11-02,,,,,,,,,,,,Public,"19,566",26.66%,22.44%,467,1.35%,0.64%,PEN,https://www.crunchbase.com/ipo/penumbra-ipo--6005744a,NYSE - New York Stock Exchange,,,,120000000.0,USD,120000000.0,2015-09-18,,,,,,,,,Penumbra develops clinically beneficial products that help patients suffering from stroke and other neurovascular diseases.,,20,32,Medical Or Veterinary Science; Hygiene,Medical apparatus and instruments,21.0,,,http://penumbrainc.com,https://www.facebook.com/penumbraincmedtech,https://www.linkedin.com/company/penumbra-inc,info@penumbrainc.com,"San Francisco Bay Area, West Coast, Western US",US,PEN-US,"Penumbra, Inc.",2015-09-20,2016-03-16,2015-09-18,2015-09-20,2016-03-18,PEN-NYS,0.13946735,1.0,3.379661,1.0
Perion,https://www.crunchbase.com/organization/perion,"Advertising, App Marketing, B2B, Information Technology, Internet, Publishing",Holon,Tel Aviv,Israel,$50M to $100M,2000-01-22,day,2006-02-10,day,,,10125000.0,USD,10125000.0,1.0,Ofer Adler,1,251-500,,,IPO,10125000.0,USD,10125000.0,Post-IPO Equity,10125000.0,USD,10125000.0,9.0,Made Acquisitions,,,,,,Active,"Perion is committed to providing outstanding execution. From high-impact ad formats to branded search and a unified social and mobile programmatic platform – we’ve got you covered. Our digital ad firm Undertone provides brands with standout, high-impact cross-screen creative that captures consumer attention and drives engagement.  Our social and mobile platform Growmobile provides marketers with an unmatched solution for acquiring and engaging app users. And Codefuel provides publishers with engagement and monetization solutions, using high-quality ad formats and search results. With our exclusive placements with premium publishers, dynamic data-driven targeting, and superior engagement capabilities, we provide exceptional advertising solutions.",,100,,,,,,,Post-IPO Equity,10125000.0,USD,10125000.0,2015-12-10,,,,,,,,,,,,Public,"48,117",60.82%,26.73%,167,23.54%,-0.89%,PERI,https://www.crunchbase.com/ipo/perion-ipo--9f704b38,NASDAQ,63000000.0,USD,63000000.0,19000000.0,USD,19000000.0,2006-02-10,,,,,,,,,Perion is a global technology company that delivers high-quality advertising solutions to brands and publishers.,For Profit,1,5,Computing; Calculating,Scientific and electric apparatus and instruments,37.0,1.0,https://twitter.com/PerionNetwork,http://perion.com,http://www.facebook.com/Perion.network,http://www.linkedin.com/company/perion,investors@perion.com,,US,PERI-US,Perion Network Ltd,2006-02-12,2006-08-09,2006-01-31,2006-02-12,2006-08-11,PERI-NAS,-0.3919293,0.0,-0.44557053,0.0
Glance Technologies Inc.,https://www.crunchbase.com/organization/glance-technologies-inc,"Blockchain, Cryptocurrency, FinTech, Loyalty Programs, Mobile Payments",Vancouver,British Columbia,Canada,,2014-10-24,day,2016-09-07,day,,,,,,,"Desmond Griffin, Stanislav Gudkov",2,51-100,,,IPO,,,,,,,,,,,,,,,Active,"Glance Technologies owns and operates Glance Pay, a streamlined payment system that revolutionizes how smartphone users choose where to shop, order goods and services, make payments, access digital receipts, redeem digital deals, earn great rewards and interact with merchants. Glance offers targeted in-app marketing, geo-targeted digital coupons, customer feedback, in-merchant messaging and custom rewards programs. The Glance Pay mobile payment system consists of proprietary technology, which includes user apps available for free downloads in iOS (Apple) and Android formats, merchant manager apps, a large-scale technology hosting environment with sophisticated anti-fraud technology and lightning-fast payment processing. Glance has also recently purchased a blockchain solution and is working on a rewards-based cryptocurrency intended to be integrated into the Glance Pay app.",,1,,,,,,,,,,,,,,,,,,,,,,,Public,"1,387",75.72%,10.64%,35,26.05%,24.25%,GET,https://www.crunchbase.com/ipo/glance-technologies-inc-ipo--517f03a5,CNSX - Canadian National Stock Exchange,,,,,,,2016-09-07,,,,,,,,,Glance Technologies Inc. is a publicly traded tech start-up making its mark on the mobile payments and blockchain spaces.,For Profit,0,0,,Insurance; financial affairs,14.0,,https://twitter.com/glancepay,https://glance.tech/,https://www.facebook.com/glancetech,https://www.linkedin.com/company/glance-technologies-inc/,info@glancepay.com,,CA,GET-CA,"Perk Labs, Inc.",2016-09-09,2017-03-06,2016-09-07,2016-09-09,2017-03-08,PERK-CNQ,-0.11111116000000001,0.0,-0.29629635,0.0
Personalis,https://www.crunchbase.com/organization/personalis,"Biotechnology, Genetics, Health Care, Health Diagnostics",Menlo Park,California,United States,$10M to $50M,2011-08-01,day,2019-06-20,day,,,75000000.0,USD,75000000.0,3.0,Atul Butte,1,51-100,,,IPO,33000000.0,USD,33000000.0,Series C,75000000.0,USD,75000000.0,,,,,4.0,2.0,,Active,"Personalis combines expertise both in the technology of sequencing and in interpretation, with an extensive history of peer reviewed publication and commercial success. Broad adoption of medical genome interpretation will require accuracy befitting regulatory approval, both in variant detection and interpretation. More than half of the founding team are MDs, and this reflects the company's commitment to serious medically-focused results, at quality standards eventually suitable for regulatory approval and insurance reimbursement. The team includes experienced PhD scientists, who know that the research community also cares deeply about accuracy, thoroughly substantiated and peer-reviewed. Personalis has exclusively licensed key intellectual property originating in the labs of the founders. Lastly, the Personalis team includes business people with decades of experience in genetic analysis, who know that the democratization of genome sequencing will also require high-quality customer support for interpretation, lab by lab, genome after genome.",,19,,,,,,,Series C,33000000.0,USD,33000000.0,2015-01-13,,,,,,,,,,,,Public,"2,720",69.16%,-77.03%,128,-83.77%,42.91%,PSNL,https://www.crunchbase.com/ipo/personalis-ipo--bc58cd45,NASDAQ,505770417.0,USD,505770417.0,134665500.0,USD,134665500.0,2019-06-20,"Stanford University, Lightspeed Venture Partners, Abingworth, Mohr Davidow Ventures",,,,,,,,Personalis is a contract research organization and genome-scale diagnostics services company specializing in genome guided medicine.,,10,31,Computing; Calculating,Scientific and technological services,18.0,1.0,http://twitter.com/PersonalisInc,http://www.personalis.com,http://www.facebook.com/pages/Personalis-Inc/351047298250443,http://www.linkedin.com/company/personalis-inc,info@personalis.com,"San Francisco Bay Area, Silicon Valley, West Coast",US,PSNL-US,"Personalis, Inc.",2019-06-22,2019-12-17,2019-06-20,2019-06-22,2019-12-19,PSNL-NAS,-0.6720661,0.0,-0.7127273,0.0
1800 PetMeds,https://www.crunchbase.com/organization/1800-petmeds,"E-Commerce, Pet, Retail",Pompano Beach,Florida,United States,$50M to $100M,1996-01-01,year,2000-01-14,day,,,231000.0,USD,231000.0,1.0,Marc Puleo,1,101-250,,,IPO,231000.0,USD,231000.0,Post-IPO Equity,231000.0,USD,231000.0,,,,,1.0,,,Active,"At PetMeds we love your pets.  Follow us to see pins about products we love, helpful pet resources, and of course cute pet photos.",,3,,,,,,,Post-IPO Equity,231000.0,USD,231000.0,2016-11-11,,,,,,,,,,,,Public,"1,598,711",53.91%,17.69%,169,1.73%,-1.9%,PETS,https://www.crunchbase.com/ipo/1800-petmeds-ipo--aba31863,NASDAQ,,,,,,,2000-01-14,Capital Fund Management,,,,,,,,"At PetMeds we love your pets. Follow us to see pins about products we love, helpful pet resources, and of course cute pet photos.",For Profit,0,29,,Advertising; business,30.0,,http://twitter.com/1800petmeds,http://www.1800petmeds.com,http://www.facebook.com/PetMeds,http://www.linkedin.com/company/1800petmeds,customerservice@1800petmeds.com,"Greater Miami Area, East Coast, Southern US",US,PETS-US,"PetMed Express, Inc.",2000-01-16,2000-07-12,1997-09-16,2000-01-16,2000-07-14,PETS-NAS,-0.75,0.0,10.736666,1.0
Petroteq Energy,https://www.crunchbase.com/organization/petroteq-energy,"Energy, Natural Resources, Oil and Gas",Studio City,California,United States,Less than $1M,2012-01-01,year,2012-11-02,day,,,9640000.0,USD,9640000.0,2.0,Aleksandr Blyumkin,1,11-50,,,IPO,3955000.0,USD,3955000.0,Post-IPO Equity,9640000.0,USD,9640000.0,2.0,Made Acquisitions,,,,,,Active,"Petroteq Energy Inc. is a Canadian-registered holding company, publicly trading on the TSX Venture Exchange (Symbol: PQE) and the OTCQX trading platform (Symbol: PQEFF). Its offices are located in Toronto, Ontario, Canada, Los Angeles, California and its initial plant location in Vernal, Utah.Petroteq is focused on value creation through the development and implementation of proprietary technologies for the environmentally safe extraction of heavy oils from oil sands, oil shale deposits and shallow oil deposits.",,20,,,,,,,Post-IPO Equity,3955000.0,USD,3955000.0,2018-08-28,,,,,,,,,,,,Public,"1,478",93.43%,-67.36%,4,-97.4%,10.97%,PQE,https://www.crunchbase.com/ipo/petroteq-energy-ipo--b488dcad,TSX-V - Toronto TSX Venture Exchange,,,,,,,2012-11-02,,,,,,,,,A Canadian-registered holding company.,For Profit,,,,,,,https://twitter.com/mcwenergy,https://petroteq.energy/about/overview,https://www.facebook.com/MCW-Energy-Group-580410578769076/,https://www.linkedin.com/company/mcw-energy-group,info@mcwenergygroup.com,"Greater Los Angeles Area, West Coast, Western US",CA,PQE-CA,Petroteq Energy Inc,2012-11-04,2013-05-01,2008-07-30,2012-11-04,2013-05-03,PQE-TSX,-0.17777777,0.0,-0.9966663,0.0
Pharmaron Holding,https://www.crunchbase.com/organization/pharmaron-holding,"Biotechnology, Chemical, Pharmaceutical",Irvine,California,United States,$100M to $500M,2003-01-01,year,2019-02-01,day,,,907815479.0,USD,907815479.0,4.0,Boliang Lou,1,1001-5000,,,IPO,4600000000.0,HKD,587815479.0,Post-IPO Equity,907815479.0,USD,907815479.0,3.0,Made Acquisitions,,,5.0,3.0,,Active,"Pharmaron is a premier R&D service provider for the pharmaceutical industry.  Founded in 2003, Pharmaron has invested in our people and our facilities enabling us to provide high quality R&D service across a number of disciplines including chemistry, biology, DMPK, pharmacology and chemical development.  Pharmaron has grown steadily to meet the needs of our customers.",,1,,,,,,,Post-IPO Equity,4600000000.0,HKD,587815479.0,2019-11-22,,,,,,,,,,,,Public,"10,016",46.86%,-21.08%,114,-45.16%,-7.82%,300759,https://www.crunchbase.com/ipo/pharmaron-holding-ipo--da796479,SSE - Shanghai Stock Exchange,,,,503000000.0,CNY,74574863.0,2019-02-01,"Legend Capital, Aisling Capital, DCM Ventures, GL Capital, CITIC M&A Fund",,,,,,,,Pharmaron is a research and development service provider for the pharmaceutical industry.,For Profit,,,,,11.0,,,http://www.pharmaron.com,,https://www.linkedin.com/company/pharmaron,bd@pharmaron.com,"Greater Los Angeles Area, West Coast, Western US",CN,300759-CN,"Pharmaron Beijing Co., Ltd. Class A",2019-02-03,2019-07-31,2019-01-28,2019-02-03,2019-08-02,300759-SHE,1.148699,1.0,3.2571252,1.0
Pharmasimple,https://www.crunchbase.com/organization/pharmasimple,"Cosmetics, E-Commerce, Fitness, Health Care, Wellness",Rhode-saint-genèse,Vlaams-Brabant,Belgium,$1M to $10M,2010-01-01,year,2016-11-25,day,,,8000000.0,EUR,9459118.0,4.0,Michael Willems,1,1-10,,,IPO,5000000.0,EUR,5963199.0,Post-IPO Equity,8000000.0,EUR,9459118.0,1.0,Made Acquisitions,,,3.0,,,Active,Pharmsimple est une parapharmacie en ligne située en Belgique. L’importance de Pharmasimple permet de négocier avec les différents laboratoires partenaires des remises importantes ce qui permet à Pharmasimple de vous proposer des prix très bas.,,,,,,,,,Post-IPO Equity,5000000.0,EUR,5963199.0,2017-09-06,,,,,,,,,,,,Public,"534,654",63.95%,13.82%,148,-23.34%,1.46%,ALPHS,https://www.crunchbase.com/ipo/pharmasimple-ipo--5d828823,EPA - Euronext Paris,,,,,,,2016-11-25,"S.R.I.W., Sopromec Participations, Newsinvest",,,,,,,,Pharmsimple est une parapharmacie en ligne située en Belgique.,For Profit,0,6,,"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",,,https://twitter.com/pharmasimple,http://pharmasimple.com/fr/,https://www.facebook.com/pharmasimple/info,https://www.linkedin.com/company/pharmasimple,officine@pharmasimple.com,European Union (EU),FR,ALPHS-FR,Pharmasimple S.A.,2016-11-27,2017-05-24,2016-11-16,2016-11-27,2017-05-26,ALPHS-PAR,0.12702966,1.0,-0.35816616,0.0
Pharnext,https://www.crunchbase.com/organization/pharnext,"Artificial Intelligence, Biopharma, Biotechnology, Medical, Neuroscience, Pharmaceutical",Issy-les-moulineaux,Ile-de-France,France,Less than $1M,2007-04-01,month,2016-07-29,day,,,36994724.0,USD,36994724.0,4.0,"Daniel Cohen, Philippe Pouletty, Serguei Nabirotchkin",3,11-50,,,IPO,15000000.0,EUR,17079749.0,Post-IPO Equity,36994724.0,USD,36994724.0,,,,,4.0,1.0,,Active,"Pharnext is an advanced clinical-stage biopharmaceutical company founded in April 2007 by renowned scientists and entrepreneurs including Professor Daniel Cohen and collaborators, pioneers in modern genomics. The company develops new therapeutics for neurodegenerative diseases - orphan and common – where there are currently no cures and existing therapies available. Pharnext is the pioneer of a new paradigm for the discovery of medicinal drugs: PLEOTHERAPY™. The R&D approach protected by Pharnext systemizes new uses of approved drugs. It is based on network pharmacology utilizing complex and extensive genomic data to identify the thousands of molecules possibly involved in a disease. From this disease molecular network, Pharnext deduces synergistic combinations of drugs already approved but for unrelated indications. These novel therapeutics called PLEODRUG™ are then developed at new optimal doses and under new formulations. They offer several key advantages: efficacy, safety, and intellectual property including several composition of matter patents already granted. The proof of concept of the PLEOTHERAPY approach was obtained with PLEODRUG PXT3003 in Charcot-Marie-Tooth disease type 1A (CMT1A) through positive and consistent Phase 2 and Phase 3 results. PLEODRUG PXT864 generated encouraging Phase 2 data in Alzheimer’s disease. They also plan to develop the same agent in other orphan and common neurodegenerative diseases such as Parkinson’s disease and amyotrophic lateral sclerosis (ALS).",,17,,,,,,,Post-IPO Equity,15000000.0,EUR,17079749.0,2019-01-23,,,,,,,,,,,,Public,"4,517",59.61%,119.86%,124,-52.87%,-3.53%,ALPHA,https://www.crunchbase.com/ipo/pharnext-ipo--211637f5,EPA - Euronext Paris,,,,,,,2016-07-29,"Aurinvest, Truffle Capital, Parinvest, Financière Boscary",,,,,,,,Pharnext is a biopharmaceutical company engaged in the development of treatments for severe neurological diseases.,,46,22,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products",8.0,,https://www.twitter.com/pharnext,http://www.pharnext.com,https://www.facebook.com/pharnext,https://www.linkedin.com/company/pharnext,,European Union (EU),FR,ALPHA-FR,Pharnext SA,2016-07-31,2017-01-25,2016-07-18,2016-07-31,2017-01-27,ALPHA-PAR,-0.1454373,0.0,-0.59980988,0.0
PhaseBio Pharmaceuticals,https://www.crunchbase.com/organization/phasebio-pharmaceuticals,"Biotechnology, Medical, Medical Device, Pharmaceutical",Malvern,Pennsylvania,United States,Less than $1M,2002-01-01,year,2018-10-17,day,,,259900000.0,USD,259900000.0,10.0,Clay B. Thorp,1,11-50,,,IPO,120000000.0,USD,120000000.0,Post-IPO Equity,248600000.0,USD,248600000.0,1.0,Made Acquisitions,,,16.0,7.0,,Active,"PhaseBio is a clinical-stage biopharmaceutical company committed to developing new and improved drugs, with an initial focus on endocrine and metabolic disorders and cardiovascular disease. The company uses its proprietary recombinant biopolymers called elastin-like polypeptides (ELPs) to improve the stability, bioavailability, activity and ease of administration of proteins and peptides, with the goal of achieving greater potency, fewer side effects and better patient compliance. Efficient production in E. coli ensures low cost of goods. PhaseBio’s lead drug candidate, PB1023, is currently being evaluated in a phase 2b clinical trial for the treatment of hyperglycemia associated with type 2 diabetes, with potential for future use in the treatment of obesity. Our second drug candidate, Vasomera™, is currently being evaluated in a phase 1 clinical trial and has exciting potential for use in the treatment of pulmonary arterial hypertension (PAH) and heart failure. Our third program, Insumera, a basal insulin based on native human insulin, will enter clinical trials in early 2013. PhaseBio is based in Malvern, Pennsylvania..",,11,,,,,,,Post-IPO Equity,120000000.0,USD,120000000.0,2020-01-13,,,,,,,,,,,,Public,"2,635",54.39%,7%,180,475.28%,11.83%,PHAS,https://www.crunchbase.com/ipo/phasebio-pharmaceuticals-ipo--90e68809,NASDAQ,119000000.0,USD,119000000.0,46000000.0,USD,46000000.0,2018-10-17,"National Institutes of Health, New Enterprise Associates, Silicon Valley Bank, AstraZeneca, Cormorant Asset Management",,,,,,,,"PhaseBio is a clinical-stage biopharmaceutical company developing drugs for cardiovascular diseases, endocrine and metabolic disorders.",For Profit,6,0,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products",12.0,,https://twitter.com/PhaseBio,http://www.phasebio.com,https://www.facebook.com/pages/Phasebio-Pharmaceuticals/167230046625699,http://www.linkedin.com/company/phasebio-pharmaceuticals,,"Greater Philadelphia Area, Great Lakes, Northeastern US",US,PHAS-US,"PhaseBio Pharmaceuticals, Inc.",2018-10-19,2019-04-15,2018-10-18,2018-10-19,2019-04-17,PHAS-NAS,1.8200002,1.0,-0.20200003,0.0
Phathom Pharmaceuticals,https://www.crunchbase.com/organization/phathom-pharmaceuticals,"Biotechnology, Pharmaceutical",Willow,Alaska,United States,,2018-01-01,day,2019-10-24,day,,,140000000.0,USD,140000000.0,2.0,"Aditya Kohli, Azmi Nabulsi, David Socks, Roger Ulrich, Tadataka Yamada",5,11-50,,,IPO,90000000.0,USD,90000000.0,Venture - Series Unknown,90000000.0,USD,90000000.0,,,,,10.0,2.0,,Active,"Phathom Pharmaceuticals, launched in 2019 by Frazier Healthcare Partners and Takeda Pharmaceuticals, is a biopharmaceutical company focused on the development and commercialization of novel treatments for gastrointestinal (GI) diseases and disorders. The company is advancing the clinical drug candidate vonoprazan, a novel potassium-competitive acid blocker (P-CAB). Vonoprazan has the potential to address multiple unmet needs among patients with gastroesophageal reflux disease (GERD) and other acid-related disorders. Phathom has assembled a leading team of seasoned gastrointestinal and pharmaceutical industry experts with proven experience developing and commercializing highly innovative therapies.",,4,,,,,,,Venture - Series Unknown,90000000.0,USD,90000000.0,2019-05-15,,,,,,,,,,,,Public,"1,658",38.2%,-37.84%,0,-99.58%,-8.31%,PHAT,https://www.crunchbase.com/ipo/phathom-pharmaceuticals-ipo--484f6fd4,NASDAQ,522000000.0,USD,522000000.0,181700000.0,USD,181700000.0,2019-10-24,"Silicon Valley Bank, RA Capital Management, Greenspring Associates, Frazier Healthcare Partners, Abingworth",,,,,,,,Phathom Pharmaceuticals is a biopharmaceutical company.,For Profit,,,,,,,,https://www.phathompharma.com/,,https://www.linkedin.com/company/phathompharma/,info@phathompharma.com,Western US,US,PHAT-US,"Phathom Pharmaceuticals, Inc.",2019-10-26,2020-04-21,2019-10-25,2019-10-26,2020-04-23,PHAT-NAS,0.706504,1.0,0.706504,1.0
Phio Pharmaceuticals,https://www.crunchbase.com/organization/rxi-pharmaceuticals,"Biotechnology, Health Care, Medical",Worcester,Massachusetts,United States,Less than $1M,2011-01-01,year,2012-05-18,day,,,26200000.0,USD,26200000.0,4.0,"Craig Mello, Michael Czech",2,11-50,,,IPO,1000000.0,USD,1000000.0,Post-IPO Equity,25900000.0,USD,25900000.0,2.0,Made Acquisitions,,,1.0,1.0,,Active,"Phio Pharmaceuticals is a biotechnology company developing the next generation of immuno-oncology therapeutics based on its self-delivering RNAi (sd-rxRNA®) therapeutic platform. The Company's discovery and research efforts are focused on developing sd-rxRNA therapeutic compounds to be used in the context of adoptive cell transfer by targeting checkpoints or other gene targets, or to be used in immunotherapy following intratumoral injection. We aim to maximize the power of our sd-rxRNA therapeutic compounds by weaponizing therapeutic immune effector cells to attack cancer, and to make tumors more susceptible to such attacks, and ultimately provide patients battling cancers with a powerful new treatment option that goes beyond current treatment modalities.",,73,,,,,,,Post-IPO Equity,1000000.0,USD,1000000.0,2019-11-26,,,,,,,,,,,,Public,"5,136",36.94%,513.98%,104,46.3%,-5.83%,PHIO,https://www.crunchbase.com/ipo/rxi-pharmaceuticals-ipo--044a46eb,NASDAQ,,,,,,,2012-05-18,Lincoln Park Capital Fund,,,,,,,,Phio Pharmaceuticals develops therapeutics based on ribonucleic acid interference.,,27,8,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,Chemical substances,,,https://twitter.com/phio_pharma,https://phiopharma.com,,https://www.linkedin.com/company/phio-pharmaceuticals-corp/,admin@RXiPharma.com,"East Coast, New England, Northeastern US",US,PHIO-US,Phio Pharmaceuticals Corp.,2012-05-20,2012-11-14,2012-05-10,2012-05-20,2012-11-16,PHIO-NAS,-0.28181822,0.0,-0.9998318999999999,0.0
